feature,total,supervised,positive,negative,unsupervised
num_words_between=22,1214,102,26,76,1112
word_between=are,716,102,10,92,614
word_between=The,1312,98,32,66,1214
word_between=they,682,98,18,80,584
word_between=daughter,624,96,18,78,528
num_words_between=26,1062,94,22,72,968
word_between=John,4096,94,18,76,4002
word_between=out,674,92,26,66,582
word_between=if,472,90,20,70,382
word_between=$,530,90,18,72,440
word_between=advisers,250,90,16,74,160
word_between=time,566,90,16,74,476
word_between=Hillary,666,88,16,72,578
word_between=brother,594,88,16,72,506
word_between=made,574,88,20,68,486
word_between=or,886,88,20,68,798
word_between=while,640,88,16,72,552
word_between=also,940,84,22,62,856
word_between=mother,906,84,24,60,822
word_between=widower,114,82,82,0,32
word_between=family,438,80,11,69,358
word_between=David,1932,78,14,64,1854
num_words_between=28,818,78,6,72,740
word_between=voters,274,74,28,46,200
word_between=where,344,74,18,56,270
num_words_between=24,966,74,14,60,892
word_between=father,314,74,4,70,240
word_between=because,342,72,4,68,270
word_between=Barack,946,72,24,48,874
word_between=last,476,72,18,54,404
word_between=leader,288,72,32,40,216
word_between=political,448,70,14,56,378
num_words_between=25,994,70,20,50,924
word_between=other,696,70,10,60,626
word_between=since,260,70,22,48,190
word_between=into,486,70,8,62,416
word_between=nomination,352,70,10,60,282
word_between=whose,514,68,20,48,446
word_between=Gov.,1678,68,38,30,1610
word_between=this,674,68,14,54,606
word_between=only,528,68,8,60,460
word_between=Mr.,278,68,2,66,210
word_between=among,338,66,14,52,272
num_words_between=29,772,66,10,56,706
word_between=over,506,66,8,58,440
word_between=before,486,66,12,54,420
word_between=York,668,66,28,38,602
word_between=House,646,64,12,52,582
word_between=story,704,64,16,48,640
word_between=friend,892,62,6,56,830
word_between=Bush,1188,62,12,50,1126
num_words_between=27,750,60,18,42,690
word_between=now,436,60,10,50,376
word_between=even,294,60,10,50,234
word_between=photography,1370,58,20,38,1312
word_between=produced,1230,58,20,38,1172
word_between=new,416,58,26,32,358
word_between=years,416,56,8,48,360
num_words_between=30,762,56,10,46,706
word_between=edited,1198,56,20,36,1142
word_between=governor,506,56,20,36,450
word_between=being,286,56,8,48,230
word_between=Tuesday,258,56,12,44,202
word_between=late,370,56,26,30,314
word_between=three,302,54,26,28,248
word_between=production,1838,54,16,38,1784
word_between=based,1104,54,12,42,1050
word_between=written,542,54,12,42,488
word_between=him,612,54,14,40,558
word_between=both,438,52,6,46,386
word_between=how,246,52,14,38,194
word_between=state,414,52,20,32,362
word_between=Senate,1076,52,8,44,1024
word_between=say,296,52,8,44,244
word_between=Thursday,230,52,9,43,178
word_between=what,304,50,4,46,254
word_between=role,336,50,14,36,286
word_between=I,458,50,2,48,408
word_between=music,2332,50,16,34,2282
word_between=Rodham,414,50,12,38,364
word_between=South,354,50,8,42,304
word_between=Republican,1438,50,12,38,1388
word_between=see,314,50,12,38,264
word_between=designer,1178,50,16,34,1128
num_words_between=33,660,50,12,38,610
word_between=team,258,50,20,30,208
word_between=million,200,48,6,42,152
word_between=film,630,48,16,32,582
word_between=Carolina,362,48,10,38,314
word_between=D-N.Y.,200,48,34,14,152
word_between=public,190,48,14,34,142
word_between=all,358,48,19,29,310
word_between=did,440,48,12,36,392
word_between=became,186,46,10,36,140
word_between=second,342,46,12,34,296
num_words_between=32,560,46,12,34,514
word_between=n't,610,46,8,38,564
word_between=Monday,218,46,10,36,172
word_between=Party,860,46,18,28,814
word_between=could,362,46,0,46,316
word_between=then,390,46,16,30,344
word_between=lady,322,46,22,24,276
word_between=year,276,46,6,40,230
word_between=part,268,46,10,36,222
